0, 97887, 0
0, 97887, 0
0, 97887, 0
0, 97887, 0
0, 97887, 0
0, 97887, 0
0, 97887, 0
0, 97887, 0
0, 97887, 0
0, 97887, 0
0, 97887, 0
0, 97887, 0
0, 97887, 0
0, 97887, 0
0, 97887, 0
0, 97887, 0
0, 97887, 0
0, 97887, 0
0, 97887, 0
0, 97887, 0
0, 97887, 0
0, 97887, 0
0, 97887, 0
0, 97887, 0
0, 97887, 0
0, 97887, 0
0, 97887, 0
0, 97887, 0
3, 97887, 0
571, 97887, 2
571, 97887, 0
571, 97887, 0
571, 97887, 0
2161, 97887, 4
2163, 97887, 0
2165, 97887, 0
5895, 97887, 19
16837, 97887, 66
18397, 97887, 63
7657, 97887, 59
10085, 97887, 64
11645, 97887, 72
12985, 97887, 30
34227, 97887, 28
57321, 97887, 39
50821, 97887, 84
46801, 97887, 82
47401, 97887, 49
46201, 97887, 84
43681, 97887, 82
41633, 97887, 77
38575, 97887, 83
37735, 97887, 100
41675, 97887, 100
41675, 97887, 100
39075, 97887, 89
41875, 97887, 92
41875, 97887, 100
37595, 97887, 100
37595, 97887, 100
32855, 97887, 93
32855, 97887, 100
32855, 97887, 100
24209, 97887, 0
24209, 97887, 0
24209, 97887, 0
24209, 97887, 0
6349, 97887, 15
3265, 97887, 82
5131, 97887, 55
5131, 97887, 0
5131, 97887, 0
5131, 97887, 0
5131, 97887, 0
5131, 97887, 0
0, 97887, 0
